Date,Predicted Temperature (C)
2025-01-04,3.7
2025-01-05,4.01
2025-01-06,4.869999999999999
2025-01-07,4.250000000000001
2025-01-08,6.99
2025-01-09,7.19
2025-01-10,6.09
